district,code1,code2,description,lon,lat,other
瓯海,22745,10821,中小学,120.63464,27.99103,75
鹿城,26493,10822,低层居民区,120.674001,27.994601,100
瓯海,26807,10753,村庄,120.64823,27.93851,55
鹿城,22665,10754,普铁,120.59212,28.00644,100
龙湾,26490,10426,城区道路,120.76311,27.97034,10
鹿城,26485,10461,高校,120.677888,28.010395,160
鹿城,22521,10423,低层居民区,120.699285,27.995897,260
瓯海,22664,10424,城中村,120.67456,27.97483,0
瓯海,22738,10856,工业园区,120.675409,27.866719,230
瓯海,22739,10857,村庄,120.41615,28.02964,250
瓯海,22656,10885,城中村,120.679907,27.972186,120
瓯海,26741,10886,工业园区,120.651685,27.970224,100
瓯海,22658,10462,工业园区,120.62724,27.97231,60
鹿城,22642,10499,写字楼,120.65986,28.01337,
龙湾,26800,10458,城中村,120.81686,27.89391,60
鹿城,22642,10459,写字楼,120.66602,28.01525,
鹿城,22642,10460,商业中心,120.661768,28.010952,
鹿城,26493,10859,写字楼,120.681737,27.994186,
龙湾,26617,10893,工业园区,120.80988,27.91134,100
鹿城,26489,10646,低层居民区,120.69666,28.017501,110
鹿城,26485,10647,工业园区,120.680964,28.011515,40
鹿城,26805,10500,商业中心,120.64934,28.01229,
瓯海,22738,10501,村庄,120.64996,27.87124,280
瓯海,22745,10496,城中村,120.66958,27.98443,60
龙湾,26490,10498,近水近海域,120.82445,27.95764,80
龙湾,26611,10894,工业园区,120.81027,27.875101,40
瓯海,26806,10352,村庄,120.69923,27.946867,180
瓯海,26741,10787,工业园区,120.65937,27.96676,90
瓯海,22656,10788,城中村,120.69553,27.97513,80
瓯海,22646,10536,高校,120.71116,27.92659,100
龙湾,26611,10537,工业园区,120.80734,27.86229,320
瓯海,22494,10534,城区道路,120.60743,27.97236,90
鹿城,22643,10535,低层居民区,120.66326,27.99435,350
鹿城,26620,10353,城区道路,120.674584,28.014789,0
龙湾,26610,10388,机场,120.84671,27.92408,120
鹿城,26609,10573,工业园区,120.585303,28.025465,100
瓯海,22737,10574,村庄,120.55856,27.94947,120
龙湾,22524,10571,低层居民区,120.75682,27.83327,230
鹿城,22665,10572,低层居民区,120.594266,28.015719,360
鹿城,26620,10569,党政军机关,120.673947,28.014232,
鹿城,22643,10570,高层居民区,120.66244,27.99228,
鹿城,26805,10389,星级酒店,120.65434,28.01276,
鹿城,26488,10390,写字楼,120.701001,28.001651,
鹿城,26805,10680,高层居民区,120.652054,28.009325,
龙湾,26617,10681,风景区,120.75114,27.92044,210
瓯海,22494,10641,乡镇,120.60948,27.96193,300
龙湾,26610,10674,城区道路,120.83867,27.93672,90
鹿城,22665,10605,工业园区,120.600906,28.027103,110
龙湾,26738,10606,高速公路,120.749738,27.965968,290
瓯海,22659,10427,村庄,120.38638,28.06785,230
鹿城,22523,10428,高层居民区,120.64441,28.02392,140
龙湾,26490,10713,城区道路,120.775541,27.971954,360
龙湾,26616,10714,城区道路,120.792801,27.94045,160
鹿城,22523,10675,低层居民区,120.655001,28.019941,100
瓯海,26613,10709,风景区,120.62687,27.99981,
鹿城,22642,10710,高层居民区,120.667181,28.018043,
龙湾,22524,10642,城区道路,120.777641,27.843241,10
鹿城,22664,10643,商业中心,120.690001,27.984001,155
龙湾,26490,10468,低层居民区,120.76438,27.96407,40
鹿城,26805,10469,写字楼,120.650958,28.011382,
鹿城,22654,10899,休闲娱乐场所,120.65812,28.02643,
